hotel;reserva_cancelada;dias_entre_reserva_y_llegada;anio_llegada;mes_llegada;numero_semana_anio;dia_del_mes_llegada;numero_noches_finde;numero_noches_semanales;adultos;chicos;bebes;tipo_comida;pais_origen;segmento_mercado;canal_distribucion_reserva;huesped_repetido;numero_reservas_anteriores_canceladas;numero_reservas_anteriores_no_canceladas;tipo_habitacion_reservada;tipo_habitacion_asignada;numero_cambios_reserva;deposito;codigo_agencia;codigo_empresa;dias_espera_reserva;tipo_reserva;tarifa;n_cocheras_reservada;num_solicitudes_especiales
Resort Hotel;0;54;2015;July;28;7;2;5;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;8;NULL;0;Transient;79.5;0;0
Resort Hotel;0;1;2015;July;28;8;0;4;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;131;1;1
Resort Hotel;0;0;2015;July;28;8;0;1;1;0;20;BB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;146;NULL;0;Transient;61;0;0
Resort Hotel;1;103;2015;July;28;9;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;65.42;0;0
Resort Hotel;0;90;2015;July;28;9;2;5;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;40;NULL;0;Contract;93.6;0;0
Resort Hotel;0;10;2015;July;28;10;0;1;2;0;0;BB;USA;Direct;Direct;0;0;0;A;A;0;No Deposit;250;NULL;0;Transient;131;0;0
Resort Hotel;0;22;2015;July;28;10;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;88.2;0;0
Resort Hotel;1;36;2015;July;28;11;2;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;126.67;0;0
Resort Hotel;0;54;2015;July;28;11;2;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;F;0;No Deposit;240;NULL;0;Transient;123;0;0
Resort Hotel;0;8;2015;July;29;12;2;4;2;1;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;169;1;2
Resort Hotel;1;58;2015;July;29;12;2;5;3;1;0;BB;PRT;Direct;Direct;0;0;0;C;C;0;No Deposit;250;NULL;0;Transient;164.57;0;1
Resort Hotel;0;59;2015;July;29;12;2;5;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;115;NULL;0;Contract;107;0;0
Resort Hotel;0;31;2015;July;29;12;2;5;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;243;NULL;0;Transient;123;0;0
Resort Hotel;0;1;2015;July;29;12;1;0;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;80.1;0;0
Resort Hotel;1;79;2015;July;29;13;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;100.86;0;1
Resort Hotel;0;0;2015;July;29;13;1;1;4;0;0;BB;PRT;Direct;Direct;0;0;0;L;H;0;No Deposit;NULL;NULL;0;Transient;150;0;0
Resort Hotel;1;42;2015;July;29;13;1;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;120;0;0
Resort Hotel;1;81;2015;July;29;13;1;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;98.5;0;2
Resort Hotel;0;115;2015;July;29;13;2;5;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;134;NULL;0;Transient-Party;119.7;0;2
Resort Hotel;0;56;2015;July;29;13;1;3;2;0;0;HB;ESP;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;240;NULL;0;Transient;134.25;1;0
Resort Hotel;1;76;2015;July;29;14;0;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;126;0;2
Resort Hotel;0;0;2015;July;29;14;0;4;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;NULL;0;Transient;111.15;0;1
Resort Hotel;0;38;2015;July;29;14;4;10;2;0;0;HB;SWE;Online TA;TA/TO;0;0;0;D;D;1;No Deposit;241;NULL;0;Transient;109.9;0;2
Resort Hotel;0;57;2015;July;29;15;0;2;2;0;0;FB;PRT;Groups;Direct;0;0;0;A;C;0;No Deposit;305;NULL;0;Transient-Party;98.75;0;0
Resort Hotel;0;50;2015;July;29;16;0;1;2;0;0;BB;FIN;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;241;NULL;0;Transient;123.2;0;0
Resort Hotel;0;10;2015;July;29;16;2;3;2;0;0;BB;IRL;Direct;Direct;0;0;0;D;D;0;No Deposit;250;NULL;0;Transient-Party;150.2;0;1
Resort Hotel;1;6;2015;July;29;17;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;241;NULL;0;Transient;110.5;0;1
Resort Hotel;0;15;2015;July;29;17;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;E;0;No Deposit;240;NULL;0;Transient;120.6;0;1
Resort Hotel;1;23;2015;July;29;17;1;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;120.6;0;1
Resort Hotel;0;24;2015;July;29;17;2;3;3;1;0;BB;PRT;Direct;Direct;0;0;0;G;G;1;No Deposit;NULL;NULL;0;Transient;195;0;1
Resort Hotel;0;65;2015;July;29;17;2;6;2;0;0;HB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;147;0;2
Resort Hotel;0;65;2015;July;29;17;2;6;2;0;0;HB;ESP;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;167;1;2
Resort Hotel;1;32;2015;July;29;17;1;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;154;0;0
Resort Hotel;0;8;2015;July;29;17;1;2;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;A;D;0;No Deposit;240;NULL;0;Transient;126.3;0;2
Resort Hotel;0;91;2015;July;29;17;1;2;2;1;0;BB;MOZ;Online TA;TA/TO;0;0;0;A;A;4;No Deposit;240;NULL;0;Transient;118.5;0;3
Resort Hotel;0;45;2015;July;29;18;2;5;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;167;0;0
Resort Hotel;1;42;2015;July;29;18;2;3;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;H;H;0;No Deposit;240;NULL;0;Transient;210;0;0
Resort Hotel;0;106;2015;July;29;18;2;3;2;1;1;BB;PRT;Direct;Direct;0;0;0;C;C;0;No Deposit;NULL;NULL;0;Transient;126;0;2
Resort Hotel;0;44;2015;July;29;18;2;5;2;0;0;HB;ESP;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;177;1;0
Resort Hotel;0;6;2015;July;30;19;1;0;2;0;0;BB;NLD;Direct;Direct;0;0;0;D;D;0;No Deposit;250;NULL;0;Transient;135;0;0
Resort Hotel;1;31;2015;July;30;19;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;154;0;0
Resort Hotel;0;123;2015;July;30;19;2;4;2;0;1;BB;ESP;Online TA;TA/TO;0;0;0;E;E;2;No Deposit;240;NULL;0;Transient;130.5;0;1
Resort Hotel;1;118;2015;July;30;20;1;2;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;240;NULL;0;Transient;179.1;0;2
Resort Hotel;0;63;2015;July;30;20;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;D;0;No Deposit;240;NULL;0;Transient;115;0;0
Resort Hotel;0;41;2015;July;30;20;1;4;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;175;NULL;0;Transient;104;0;0
Resort Hotel;1;118;2015;July;30;20;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;240;NULL;0;Transient;179.1;0;1
Resort Hotel;0;89;2015;July;30;21;1;5;3;0;0;BB;PRT;Direct;Direct;0;0;0;A;D;0;No Deposit;250;NULL;0;Transient;163.33;1;1
Resort Hotel;0;16;2015;July;30;23;0;0;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;C;I;0;No Deposit;242;NULL;0;Transient;0;0;0
Resort Hotel;0;34;2015;July;30;23;2;6;3;0;0;HB;ROU;Offline TA/TO;TA/TO;0;0;0;D;D;1;No Deposit;171;NULL;0;Transient;217.05;1;1
Resort Hotel;0;22;2015;July;30;24;0;2;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient-Party;153;0;2
Resort Hotel;0;22;2015;July;30;24;0;2;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient-Party;153;0;2
Resort Hotel;1;22;2015;July;30;24;0;2;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;240;NULL;0;Transient;233;0;2
Resort Hotel;0;55;2015;July;30;24;2;3;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;147;NULL;0;Transient-Party;75.44;0;1
Resort Hotel;0;43;2015;July;30;25;2;4;2;0;0;BB;IRL;Direct;Direct;0;0;0;A;A;0;No Deposit;250;NULL;0;Transient;134;0;0
Resort Hotel;0;60;2015;July;30;25;2;6;2;0;0;HB;GBR;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;147;NULL;0;Transient;90.12;0;1
Resort Hotel;0;31;2015;July;31;27;0;0;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;I;1;No Deposit;241;NULL;0;Transient;0;0;0
Resort Hotel;0;59;2015;July;31;27;1;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;145;1;0
Resort Hotel;1;101;2015;July;31;27;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;164;0;2
Resort Hotel;1;119;2015;July;31;29;;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;108.54;0;1
Resort Hotel;0;97;2015;July;31;29;1;4;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;134;0;2
Resort Hotel;1;54;2015;July;31;29;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;241;NULL;0;Transient;141.65;0;0
Resort Hotel;0;37;2015;July;31;30;0;1;1;0;0;BB;ESP;Offline TA/TO;TA/TO;0;0;0;A;F;1;No Deposit;134;NULL;0;Transient;107;0;0
Resort Hotel;1;16;2015;July;31;31;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;173;0;3
Resort Hotel;0;4;2015;July;31;31;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient-Party;192;0;2
Resort Hotel;0;72;2015;July;31;31;2;2;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;240;NULL;0;Transient;214;1;0
Resort Hotel;1;136;2015;July;31;31;2;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;172;0;0
Resort Hotel;1;84;2015;August;31;1;2;1;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;175;NULL;0;Transient-Party;118.06;0;0
Resort Hotel;1;74;2015;August;31;1;2;5;2;2;0;BB;PRT;Direct;Direct;0;0;0;C;C;0;No Deposit;250;NULL;0;Transient;177.14;0;0
Resort Hotel;1;80;2015;August;31;1;4;6;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;C;C;0;No Deposit;242;NULL;0;Transient;169;0;1
Resort Hotel;0;13;2015;August;32;4;0;4;2;0;1;HB;PRT;Direct;Direct;0;0;0;C;C;1;No Deposit;NULL;NULL;0;Transient-Party;230.5;0;2
Resort Hotel;0;140;2015;August;32;4;2;5;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;0;0;A;D;0;No Deposit;6;NULL;0;Transient-Party;90.95;1;0
Resort Hotel;0;83;2015;August;32;7;2;2;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;175;NULL;0;Transient-Party;107.2;0;2
Resort Hotel;0;16;2015;August;32;7;2;3;2;0;0;BB;IRL;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;221;0;2
Resort Hotel;0;116;2015;August;32;7;2;5;2;1;1;BB;PRT;Offline TA/TO;TA/TO;0;0;0;C;C;0;No Deposit;5;NULL;0;Transient;133.5;1;2
Resort Hotel;0;65;2015;August;32;7;2;7;2;0;0;BB;NLD;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;240;NULL;0;Transient;121.39;1;1
Resort Hotel;0;0;2015;August;32;8;0;1;2;0;0;BB;CHN;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;171.9;1;0
Resort Hotel;1;67;2015;August;32;8;2;4;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;186;0;0
Resort Hotel;1;54;2015;August;32;8;2;5;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;205;0;1
Resort Hotel;0;5;2015;August;33;9;1;0;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;E;0;No Deposit;306;NULL;0;Transient;127.31;0;0
Resort Hotel;1;122;2015;August;33;9;2;4;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;166;0;2
Resort Hotel;0;81;2015;August;33;9;2;4;2;1;1;FB;SPAIN;Direct;Direct;0;0;0;C;C;0;No Deposit;250;NULL;0;Transient;277;1;1
Resort Hotel;0;81;2015;August;33;9;2;5;2;0;0;HB;GBR;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;243;NULL;0;Transient;130;0;0
Resort Hotel;0;90;2015;August;33;11;0;0;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;0;0;2
Resort Hotel;1;116;2015;August;33;11;0;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;164;0;0
Resort Hotel;1;85;2015;August;33;11;0;5;3;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;242;NULL;0;Transient;162.3;0;3
Resort Hotel;1;102;2015;August;33;11;2;10;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;196;0;2
Resort Hotel;1;8;2015;August;33;13;0;3;2;0;0;BB;PRT;Direct;Direct;0;0;0;A;A;0;No Deposit;NULL;NULL;0;Transient;178.33;0;2
Resort Hotel;0;87;2015;August;33;13;2;3;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;D;E;1;No Deposit;240;NULL;0;Transient;154;0;2
Resort Hotel;0;0;2015;August;33;14;0;1;2;2;0;BB;CHE;Direct;Direct;0;0;0;G;G;0;No Deposit;NULL;NULL;0;Transient;203;0;0
Resort Hotel;0;0;2015;August;33;14;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;E;0;No Deposit;240;NULL;0;Transient;120.6;0;0
Resort Hotel;0;0;2015;August;33;14;0;1;2;0;0;BB;CHN;Online TA;TA/TO;0;0;0;D;F;0;No Deposit;240;NULL;0;Transient-Party;172;0;2
Resort Hotel;0;81;2015;August;33;14;2;3;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;166;1;0
Resort Hotel;0;52;2015;August;33;14;2;5;2;1;0;HB;PRT;Direct;Direct;0;0;0;C;C;2;No Deposit;NULL;NULL;0;Transient;160;1;0
Resort Hotel;0;150;2015;August;33;14;2;5;2;0;0;BB;NLD;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;71;NULL;0;Transient;96.3;0;1
Resort Hotel;0;64;2015;August;33;14;2;5;2;0;0;BB;NLD;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;71;NULL;0;Transient;107;0;0
Resort Hotel;0;35;2015;August;33;15;2;2;2;0;0;HB;PRT;Direct;Direct;0;0;0;D;E;0;No Deposit;250;NULL;0;Transient;234;1;0
Resort Hotel;1;68;2015;August;33;15;2;5;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;196;NULL;0;Transient;135;0;0
Resort Hotel;0;65;2015;August;33;15;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;8;NULL;0;Transient;107;0;0
Resort Hotel;1;53;2015;August;33;15;2;6;2;1;0;HB;PRT;Direct;Direct;0;0;0;C;C;0;No Deposit;NULL;NULL;0;Transient;160;0;0
Resort Hotel;0;37;2015;August;34;16;1;0;1;0;0;BB;PRT;Groups;Corporate;0;0;0;A;A;0;No Deposit;NULL;307;0;Transient-Party;172;0;0
Resort Hotel;0;37;2015;August;34;16;1;0;1;0;0;BB;PRT;Groups;Corporate;0;0;0;A;A;0;No Deposit;NULL;307;0;Transient-Party;172;0;0
Resort Hotel;1;54;2015;August;34;16;4;10;2;2;0;BB;PRT;Direct;Direct;0;0;0;C;C;0;No Deposit;250;NULL;0;Transient;175.79;0;0
Resort Hotel;0;92;2015;August;34;18;2;8;2;2;0;BB;IRL;Online TA;TA/TO;0;0;0;D;D;1;No Deposit;240;NULL;0;Transient;239.5;0;1
Resort Hotel;0;128;2015;August;34;19;1;4;2;0;0;BB;POL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;120.6;1;0
Resort Hotel;1;23;2015;August;34;19;2;5;1;0;0;HB;PRT;Direct;Direct;0;0;0;D;D;0;No Deposit;250;NULL;0;Transient;241;0;0
Resort Hotel;0;98;2015;August;34;19;2;7;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;147;NULL;0;Transient;8;0;0
Resort Hotel;0;138;2015;August;34;19;2;7;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;E;E;1;No Deposit;240;NULL;0;Transient;196;0;1
Resort Hotel;0;24;2015;August;34;21;0;2;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;171.9;0;2
Resort Hotel;1;36;2015;August;34;21;1;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;178.33;0;1
Resort Hotel;1;22;2015;August;34;21;2;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;191;0;3
Resort Hotel;0;32;2015;August;34;21;2;4;2;0;0;BB;CHE;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;178.33;0;2
Resort Hotel;0;51;2015;August;34;21;2;4;3;0;0;HB;ESP;Direct;Direct;0;0;0;D;D;0;No Deposit;NULL;NULL;0;Transient;248;0;1
Resort Hotel;1;71;2015;August;34;21;2;7;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;118.7;0;0
Resort Hotel;0;22;2015;August;34;22;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;D;E;0;No Deposit;5;NULL;0;Transient;162.29;0;0
Resort Hotel;0;70;2015;August;34;22;2;4;2;2;0;HB;PRT;Direct;Direct;0;0;0;C;C;1;No Deposit;250;NULL;0;Transient;211;1;0
Resort Hotel;0;6;2015;August;35;23;2;2;2;0;0;BB;ESP;Direct;Direct;0;0;0;E;E;0;No Deposit;250;NULL;0;Transient;201;0;0
Resort Hotel;1;64;2015;August;35;23;2;4;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;194;0;0
Resort Hotel;0;20;2015;August;35;23;2;5;2;0;0;HB;IRL;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;142;NULL;0;Contract;155.77;0;0
Resort Hotel;1;55;2015;August;35;24;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;148.25;0;2
Resort Hotel;1;89;2015;August;35;24;3;6;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;241;NULL;0;Transient;129.27;0;1
Resort Hotel;1;54;2015;August;35;24;2;5;3;0;0;BB;PRT;Direct;Direct;0;0;0;E;E;2;No Deposit;NULL;NULL;0;Transient;196;0;1
Resort Hotel;1;77;2015;August;35;25;2;7;2;0;0;BB;PRT;Direct;Direct;0;0;0;F;F;0;No Deposit;250;NULL;0;Transient;166;0;0
Resort Hotel;1;93;2015;August;35;26;1;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;192.2;0;0
Resort Hotel;1;31;2015;August;35;27;2;3;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;191;0;2
Resort Hotel;0;43;2015;August;35;27;2;4;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;0;0;D;E;0;No Deposit;156;NULL;0;Contract;79.5;0;0
Resort Hotel;0;45;2015;August;35;27;2;5;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;156;NULL;0;Contract;75.53;0;0
Resort Hotel;1;46;2015;August;35;28;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;120.6;0;1
Resort Hotel;0;32;2015;August;35;28;1;2;2;0;0;BB;MAR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;122;0;1
Resort Hotel;0;25;2015;August;35;28;2;2;2;0;0;FB;FRA;Direct;Direct;0;0;0;F;F;1;No Deposit;250;NULL;0;Transient;208;0;2
Resort Hotel;0;11;2015;August;36;30;2;0;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;103.5;1;3
Resort Hotel;0;34;2015;August;36;30;2;2;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;241;NULL;0;Transient;71.69;0;1
Resort Hotel;1;104;2015;August;36;30;2;5;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;161.29;0;0
Resort Hotel;0;27;2015;September;36;1;0;3;2;1;0;HB;PRT;Direct;Direct;0;0;0;C;C;0;No Deposit;250;NULL;0;Transient;153;0;2
Resort Hotel;1;132;2015;September;36;1;0;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;NULL;0;Transient;123;0;1
Resort Hotel;1;161;2015;September;36;1;0;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;93.12;0;2
